zone,w_from,w_to,price
5,200.0,250.0,43.58
5,250.0,300.0,49.13
5,300.0,350.0,52.0
5,350.0,400.0,56.13
5,400.0,450.0,63.21
5,450.0,500.0,69.76
5,500.0,600.0,77.55
5,600.0,700.0,82.54
5,700.0,800.0,87.87
5,800.0,900.0,93.25
5,900.0,1000.0,98.92
5,1000.0,1100.0,112.93
5,1100.0,1200.0,121.2
5,1200.0,1300.0,125.07
5,1300.0,1400.0,131.87
5,1400.0,1500.0,132.59
5,1500.0,1600.0,140.37
5,1600.0,1700.0,156.33
5,1700.0,1800.0,160.46
5,1800.0,1900.0,169.12
5,1900.0,2000.0,169.92
5,2000.0,2100.0,182.88
5,2100.0,2200.0,196.08
5,2200.0,2300.0,202.3
5,2300.0,2400.0,206.07
5,2400.0,2500.0,208.79
5,2500.0,3000.0,231.99
5,3000.0,3500.0,246.06
5,3500.0,4000.0,273.39
5,4000.0,4500.0,300.07
6,0.0,30.0,31.7
6,30.0,50.0,31.7
6,50.0,75.0,31.7
6,75.0,100.0,32.37
6,100.0,150.0,35.69
6,150.0,200.0,42.66
6,200.0,250.0,45.55
6,250.0,300.0,51.74
6,300.0,350.0,54.92
6,350.0,400.0,59.24
6,400.0,450.0,66.35
6,450.0,500.0,73.1
6,500.0,600.0,80.89
6,600.0,700.0,86.28
6,700.0,800.0,92.57
6,800.0,900.0,98.67
6,900.0,1000.0,105.63
6,1000.0,1100.0,119.72
6,1100.0,1200.0,128.96
6,1200.0,1300.0,132.72
6,1300.0,1400.0,139.97
6,1400.0,1500.0,140.62
6,1500.0,1600.0,149.76
6,1600.0,1700.0,169.13
6,1700.0,1800.0,174.1
6,1800.0,1900.0,182.76
6,1900.0,2000.0,183.55
6,2000.0,2100.0,198.14
6,2100.0,2200.0,214.4
6,2200.0,2300.0,221.95
6,2300.0,2400.0,226.04
6,2400.0,2500.0,228.76
6,2500.0,3000.0,254.18
6,3000.0,3500.0,269.6
6,3500.0,4000.0,299.54
6,4000.0,4500.0,328.78
7,0.0,30.0,31.7
7,30.0,50.0,31.7
7,50.0,75.0,33.75
7,75.0,100.0,37.02
7,100.0,150.0,40.31
7,150.0,200.0,43.6
7,200.0,250.0,46.52
