scope	country	zone	w_from	w_to	price
DE	Deutschland	4	1100.01	1200	120.75
DE	Deutschland	4	1200.01	1300	128.73
DE	Deutschland	4	1300.01	1400	136.07
DE	Deutschland	4	1400.01	1500	142.16
DE	Deutschland	4	1500.01	1600	150.47
DE	Deutschland	4	1600.01	1700	156.56
DE	Deutschland	4	1700.01	1800	164.05
DE	Deutschland	4	1800.01	1900	170.08
DE	Deutschland	4	1900.01	2000	177.86
DE	Deutschland	4	2000.01	2100	185.65
DE	Deutschland	4	2100.01	2200	192.31
DE	Deutschland	4	2200.01	2300	199.76
DE	Deutschland	4	2300.01	2400	207.54
DE	Deutschland	4	2400.01	2500	213.48
DE	Deutschland	4	2500.01	3000	249.09
DE	Deutschland	4	3000.01	3500	279.59
DE	Deutschland	4	3500.01	4000	316.71
DE	Deutschland	4	4000.01	4500	353.73
DE	Deutschland	4	4500.01	5000	382.29
DE	Deutschland	5	0.01	30	31.72
DE	Deutschland	5	1	2	7
DE	Deutschland	5	30.01	50	33.67
DE	Deutschland	5	50.01	100	36.63
DE	Deutschland	5	100.01	150	40.53
DE	Deutschland	5	150.01	200	48.8
DE	Deutschland	5	200.01	300	66.21
DE	Deutschland	5	300.01	400	67.57
DE	Deutschland	5	400.01	500	68.01
DE	Deutschland	5	500.01	600	75.6
DE	Deutschland	5	600.01	700	83.97
DE	Deutschland	5	700.01	800	92.58
DE	Deutschland	5	800.01	900	100.95
DE	Deutschland	5	900.01	1000	109.17
DE	Deutschland	5	1000.01	1100	116.13
DE	Deutschland	5	1100.01	1200	124.2
DE	Deutschland	5	1200.01	1300	132.57
DE	Deutschland	5	1300.01	1400	140.4
DE	Deutschland	5	1400.01	1500	147.07
DE	Deutschland	5	1500.01	1600	155.78
DE	Deutschland	5	1600.01	1700	162.39
DE	Deutschland	5	1700.01	1800	170.42
DE	Deutschland	5	1800.01	1900	176.99
DE	Deutschland	5	1900.01	2000	185.21
DE	Deutschland	5	2000.01	2100	193.29
DE	Deutschland	5	2100.01	2200	200.34
DE	Deutschland	5	2200.01	2300	208.17
DE	Deutschland	5	2300.01	2400	216.4
DE	Deutschland	5	2400.01	2500	222.91
DE	Deutschland	5	2500.01	3000	259.94
DE	Deutschland	5	3000.01	3500	293.21
DE	Deutschland	5	3500.01	4000	332.57
DE	Deutschland	5	4000.01	4500	371.83
DE	Deutschland	5	4500.01	5000	402.34
DE	Deutschland	6	0.01	30	31.96
DE	Deutschland	6	1	2	8
DE	Deutschland	6	30.01	50	33.96
DE	Deutschland	6	50.01	100	36.97
DE	Deutschland	6	100.01	150	40.91
DE	Deutschland	6	150.01	200	49.23
DE	Deutschland	6	200.01	300	68.06
DE	Deutschland	6	300.01	400	69.52
DE	Deutschland	6	400.01	500	70.35
DE	Deutschland	6	500.01	600	78.72
DE	Deutschland	6	600.01	700	87.91
DE	Deutschland	6	700.01	800	97.35
DE	Deutschland	6	800.01	900	106.49
DE	Deutschland	6	900.01	1000	115.2
DE	Deutschland	6	1000.01	1100	122.6
DE	Deutschland	6	1100.01	1200	131.06
DE	Deutschland	6	1200.01	1300	139.92
DE	Deutschland	6	1300.01	1400	148.19
DE	Deutschland	6	1400.01	1500	155.24
DE	Deutschland	6	1500.01	1600	164.49
DE	Deutschland	6	1600.01	1700	171.49
DE	Deutschland	6	1700.01	1800	179.96
DE	Deutschland	6	1800.01	1900	186.91
DE	Deutschland	6	1900.01	2000	195.62
DE	Deutschland	6	2000.01	2100	204.23
DE	Deutschland	6	2100.01	2200	211.77
DE	Deutschland	6	2200.01	2300	220.04
DE	Deutschland	6	2300.01	2400	228.75
DE	Deutschland	6	2400.01	2500	235.66
DE	Deutschland	6	2500.01	3000	274.58
DE	Deutschland	6	3000.01	3500	309.85
DE	Deutschland	6	3500.01	4000	351.5
DE	Deutschland	6	4000.01	4500	393.09
DE	Deutschland	6	4500.01	5000	425.74
DE	Deutschland	7	0.01	30	32.25
DE	Deutschland	7	1	2	9
DE	Deutschland	7	30.01	50	34.3
DE	Deutschland	7	50.01	100	37.31
DE	Deutschland	7	100.01	150	41.5
DE	Deutschland	7	150.01	200	50.64
DE	Deutschland	7	200.01	300	71.52
DE	Deutschland	7	300.01	400	73.02
DE	Deutschland	7	400.01	500	74.14
DE	Deutschland	7	500.01	600	83.34
DE	Deutschland	7	600.01	700	93.26
DE	Deutschland	7	700.01	800	103.48
DE	Deutschland	7	800.01	900	113.35
DE	Deutschland	7	900.01	1000	122.84
DE	Deutschland	7	1000.01	1100	130.97
DE	Deutschland	7	1100.01	1200	140.21
